feature,mean_abs_shap
BP1_reversed,0.1793729733823538
sleep_avg_weighted,0.043740559337551534
edu_numeric,0.03194860806537433
sex_numeric,0.031316378261013134
age_numeric,0.03004355348156804
HE_glu_numeric,0.026761995724609154
pulse_pressure,0.025412529870607627
MAP,0.024529705219266486
HE_sbp_numeric,0.023964590538174207
HE_dbp_numeric,0.022532655176629904
total_mvpa_min_week,0.021593140303653748
weekday_sleep_hours,0.018324013008812156
weekend_sleep_hours,0.015941207057936328
BS1_1_recoded,0.013107691492172968
marri_1_numeric,0.010939856210254761
HE_obe_numeric,0.010738768668974476
BD2_31_numeric,0.009317338939623972
pulse_irregular,0.0003737559664735925
