feature,missing_count,missing_rate,imputation_strategy
BP1_reversed,155,0.004799653186350406,most_frequent
pulse_irregular,169,0.0052331702483433456,most_frequent
total_mvpa_min_week,75,0.002322412832105035,median
weekday_sleep_hours,5036,0.15594228029974608,median
weekend_sleep_hours,5037,0.15597324580417415,median
sleep_avg_weighted,152,0.004706756673066205,median
HE_glu_numeric,1145,0.03545550257013687,median
HE_sbp_numeric,195,0.006038273363473091,median
HE_dbp_numeric,196,0.006069238867901158,median
pulse_pressure,196,0.006069238867901158,median
MAP,196,0.006069238867901158,median
sex_numeric,0,0.0,most_frequent
age_numeric,0,0.0,median
edu_numeric,76,0.0023533783365331023,most_frequent
marri_1_numeric,0,0.0,most_frequent
HE_obe_numeric,395,0.012231374249086517,most_frequent
BS1_1_recoded,154,0.004768687681922339,most_frequent
BD2_31_numeric,9365,0.2899919489688487,most_frequent
